epoch,phase,cls_loss,box_loss,total_loss,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1
1,1,2.1707179877493115,0.8156884478198158,7.20302234755622,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1.1715851989057329,0.5692982872327169,4.85552978515625,0.0034703221172094345,0.0005849887093063444,0.006940644234418869,0.0,0.0011699774186126888,0.0
3,1,1.1058671209547255,0.5174685948424869,4.433948106235928,0.026824415050214157,0.0070153052431123795,0.05268682911992073,0.0009620009805075824,0.013862260314635933,0.00016835017158882691
4,1,1.027637051211463,0.5108191586203046,4.344962279001872,0.012780385091900826,0.002096234110649675,0.02556077018380165,0.0,0.00419246822129935,0.0
5,1,0.9029399355252584,0.5499464223782221,4.576068096690708,0.06903010699898005,0.019390929981818773,0.12922558188438416,0.008834632113575935,0.036469687838689424,0.00231217212494812
6,1,1.0248215529653761,0.5380547510253059,4.547821468777126,0.18903416395187378,0.0417064473265782,0.37806832790374756,0.0,0.0834128946531564,0.0
7,1,0.8239710562758975,0.576850649383333,4.73836546474033,0.002862190129235387,0.0004582590697282285,0.0036429869942367077,0.002081393264234066,0.00036429869942367077,0.0005522194400327862
8,1,0.6746427185005612,0.5965447343058057,4.811406877305773,0.03846949152648449,0.009171800620970316,0.009464319795370102,0.06747466325759888,0.0009910549153573811,0.01735254632658325
9,1,0.6245335837205251,0.5465197612841924,4.411164985762702,0.09272590279579163,0.02259557345387293,0.10830020904541016,0.0771515965461731,0.02636819407634903,0.018822952831396834
10,1,0.5847386221090952,0.537763978044192,4.325599180327521,0.005797691643238068,0.0009401374456501799,0.005195080302655697,0.006400302983820438,0.0005292375491990243,0.0013510373421013356
11,1,0.6425619092252519,0.5392152849170897,4.365395532713996,0.045787036418914795,0.007382342271739617,0.0524277463555336,0.03914632648229599,0.008118878328241408,0.0066458062152378265
12,1,0.6617482238345676,0.5464401460356183,4.429175138473511,0.006919754057889804,0.0011169659992447123,0.000645994849037379,0.01319351326674223,6.45994849037379e-05,0.0021693325135856865
13,1,0.6200553907288445,0.5234162575668759,4.235649545987447,0.022425585837481776,0.004153138757465058,9.182736539514735e-05,0.044759344309568405,9.182736539514735e-06,0.008297094778390602
14,1,0.5697502377960417,0.5195450451638963,4.18146292368571,0.06094219163060188,0.009623793375794776,0.045284464955329895,0.07659991830587387,0.006694186065578834,0.012553400686010718
15,1,0.5787297752168443,0.5018454177512063,4.053205516603258,0.013551536947488785,0.0024176194332540036,0.0,0.02710307389497757,0.0,0.004835238866508007
16,1,0.649693907962905,0.5270558281077279,4.27776559193929,0.04891291819512844,0.01057784224030911,0.05080217495560646,0.04702366143465042,0.006724441744154319,0.0144312427364639
17,1,0.6092384292019738,0.525567513373163,4.2463756402333575,0.2179981293156743,0.07607601735944627,0.419171541929245,0.016824716702103615,0.14623919926234522,0.005912835456547328
18,1,0.5739276144239638,0.501477849152353,4.048047635290358,0.2846185341477394,0.07903967608581297,0.5338019132614136,0.03543515503406525,0.14947784692049026,0.008601505251135677
19,1,0.5573962661955092,0.5000820971197553,4.029313895437452,0.03355361707508564,0.007018383601098322,0.027562446892261505,0.039544787257909775,0.0038607290014624597,0.010176038200734183
20,1,0.5752684391207166,0.5161457873053021,4.15872761938307,0.2675997717306018,0.06539032941509504,0.5149098634719849,0.020289679989218712,0.12336618304834701,0.007414475781843066
21,1,0.5412541611327065,0.4684910790787803,3.7843101819356284,0.23499741137493402,0.0625703214856003,0.46799248456954956,0.0020023381803184748,0.12483862300869078,0.00030201996250980303
22,1,0.5231462104452981,0.508427866631084,4.07478211985694,0.2699524238705635,0.12800398227991536,0.43493762612342834,0.10496722161769867,0.23458004835993052,0.02142791619990021
23,1,0.5562122133043077,0.47435520258214736,3.835770116911994,0.04761671647429466,0.012136763069429434,0.04416896402835846,0.051064468920230865,0.011033806670457124,0.013239719468401745
24,1,0.5569330503543218,0.5133439319001304,4.12854606575436,0.038254281505942345,0.01113055067253299,0.0485922135412693,0.027916349470615387,0.0128179649123922,0.009443136432673782
25,1,0.5909860531489054,0.4842801358964708,3.927594052420722,0.2619176786392927,0.14200275607872753,0.49713629484176636,0.026699062436819077,0.2773521770024672,0.006653335154987871
26,1,0.6007702747980753,0.4881934275229772,3.961835914187961,0.24661471787840128,0.05055032298478181,0.4722815155982971,0.02094792015850544,0.09570052288472652,0.005400123084837105
27,1,0.5696900089581808,0.5008938660224279,4.041548980606927,0.031913028098642826,0.009399987126380438,0.040816325694322586,0.023009730502963066,0.011076049479015637,0.007723924773745239
28,1,0.5404320657253265,0.4668601287735833,3.771666990386115,0.29175423830747604,0.15388080213451757,0.5403702855110168,0.04313819110393524,0.2988528033252805,0.008908800943754614
29,1,0.5378446363740497,0.46723558836513096,3.773189240031772,0.287468072026968,0.16650997004953752,0.5369125008583069,0.03802364319562912,0.32098232163116336,0.012037618467911671
30,1,0.5424799240297742,0.45424759056833053,3.678096890449524,0.06228059157729149,0.017419383142259902,0.05480416119098663,0.06975702196359634,0.01854500034241937,0.016293765942100434
31,1,0.5664614505238004,0.47431446115175885,3.8405891789330378,0.3939966522157192,0.1574255846455344,0.7474876046180725,0.040505699813365936,0.30248014616954605,0.01237102312152274
32,1,0.5278531428840425,0.4463848223288854,3.6118127372529774,0.2402390856295824,0.13095120265352306,0.46314871311187744,0.01732945814728737,0.25773759143194186,0.0041648138751043005
33,1,0.5384705199135674,0.4284533162911733,3.4826351404190063,0.2812080755829811,0.07084674293291755,0.4845207929611206,0.07789535820484161,0.11794257023138925,0.023750915634445847
34,1,0.5047737922933366,0.4278549502293269,3.461299035284254,0.24665377475321293,0.13063874752842822,0.4659000635147095,0.027407485991716385,0.2516151385381818,0.009662356518674642
35,1,0.4833489937914742,0.4274175465106964,3.447306089931064,0.3030429966747761,0.09156704103079391,0.5760802626609802,0.03000573068857193,0.17193472945073154,0.011199352610856295
36,1,0.4791523383723365,0.4239301515950097,3.4190522962146335,0.32512515038251877,0.16060292322617897,0.6224979162216187,0.027752384543418884,0.31435284040053374,0.006853006051824195
37,1,0.4599056839942932,0.4280190004242791,3.4400953584247165,0.3089012298732996,0.16671814295114018,0.577539324760437,0.040263134986162186,0.3215890794061124,0.011847206496167929
38,1,0.47817737195226884,0.4323537051677704,3.481741468111674,0.06257207877933979,0.02039090233738534,0.09053444862365723,0.034609708935022354,0.028902058466337623,0.011879746208433063
39,1,0.4928190012772878,0.43550413184695774,3.5126904911465116,0.28990680165588856,0.13102466555355932,0.5408827066421509,0.038930896669626236,0.24937325111677638,0.01267607999034226
40,1,0.4892735315693749,0.42368676761786145,3.4222875038782754,0.3417622707784176,0.1672055934846867,0.6116061806678772,0.07191836088895798,0.3137088666204363,0.020702320348937063
41,1,0.4815160681804021,0.42070313957002425,3.3960315783818564,0.3695485610514879,0.2123889280948788,0.69977205991745,0.039325062185525894,0.4104511573968921,0.0143266987928655
42,1,0.47180552283922833,0.4118258555730184,3.3245966964297824,0.36816466972231865,0.24136725671123713,0.6789697408676147,0.05735959857702255,0.4703883146867156,0.012346198735758662
43,1,0.4617874125639598,0.4169082045555115,3.357705248726739,0.38014157861471176,0.22130896013695747,0.7024890780448914,0.057794079184532166,0.4270445570407901,0.015573363233124837
44,1,0.4576214982403649,0.41775714854399365,3.3619893656836615,0.3790462575852871,0.26144366087683013,0.7009181976318359,0.05717431753873825,0.5067243899451569,0.016162931808503346
45,1,0.46682188080416787,0.3985685341888004,3.2226749658584595,0.39254964515566826,0.24880398578534368,0.7426745295524597,0.0424247607588768,0.48562407605350016,0.011983895517187194
46,1,0.42827069924937355,0.3988678322898017,3.2056440777248807,0.3920058775693178,0.2819857586640865,0.7415891885757446,0.042422566562891006,0.5508880118606612,0.013083505467511714
